m_clock,x,y,z,q_x,q_y,q_z,q_w,rf_s,rr_s,fl_s,rl_s,lr_d,rr_d,fl_d,fr_d,rm_d,lm_d,lb_rot,rb_rot,ld_rot,rd_rot,slip,slow_slip,wrf_x,wrf_y,wrf_z,wrc_x,wrc_y,wrc_z,wrb_x,wrb_y,wrb_z,wlf_x,wlf_y,wlf_z,wlc_x,wlc_y,wlc_z,wlb_x,wlb_y,wlb_z
781815022.000708, -195.089283, -261.466772, -86.424848, 0.154165, 0.112126, -0.733584, 0.652316, -0.172786, 0.156977, -0.248675, 0.226305, 113.962107, 114.097604, 112.691611, 112.291713, 115.033074, 110.468193, 0.073475, 0.054300, -0.050000, -0.050000, 0.846427, nan, -17.008621, -22.881170, -515.531189, -32.134781, -106.266571, -375.035706, 63.500828, 105.541283, -996.289368, 28.058521, -80.800255, -402.234314, -25.586346, -46.016335, -445.874084, 23.292894, 92.703789, -1097.076904
781815023.000725, -195.089519, -261.479217, -86.428932, 0.154765, 0.112612, -0.734273, 0.651313, -0.172786, 0.156977, -0.248675, 0.226305, 114.129310, 114.264757, 112.807988, 112.407788, 115.201129, 110.578365, 0.075616, 0.048409, -0.050000, -0.050000, 0.658228, 0.609181, -20.400444, 73.882782, -645.574219, -16.097603, -80.392548, -319.077332, 88.785179, 87.952171, -911.247314, -19.331581, -31.290659, -335.798126, -21.532553, -10.712194, -436.857513, 28.767473, 7.091019, -1210.287842
781815024.000741, -195.089327, -261.491835, -86.431285, 0.155279, 0.112502, -0.734787, 0.650630, -0.172786, 0.156977, -0.248675, 0.226305, 114.296423, 114.431844, 112.924402, 112.523885, 115.369114, 110.688407, 0.073188, 0.052033, -0.050000, -0.050000, 0.703500, nan, -37.197350, 121.436295, -623.905884, -5.937396, -58.565079, -314.432312, 56.757637, -5.701775, -940.592346, -41.897598, 3.753131, -372.444611, -42.153687, 5.445427, -389.330170, -19.426958, -50.749924, -1218.717773
781815025.000758, -195.090464, -261.507302, -86.434200, 0.156212, 0.113585, -0.735271, 0.649671, -0.172786, 0.156977, -0.248675, 0.226305, 114.463872, 114.598968, 113.040818, 112.639970, 115.537218, 110.798508, 0.063299, 0.045602, -0.050000, -0.050000, 0.655962, nan, -34.068439, 50.740810, -417.206177, -7.000279, -50.075089, -388.542572, 74.011269, 42.483421, -1062.831665, 3.269120, 12.064726, -494.818481, -15.714307, -6.940096, -362.658630, -31.213987, -68.795151, -1065.600342
781815026.000775, -195.091345, -261.521436, -86.437487, 0.156233, 0.114219, -0.736040, 0.648684, -0.172786, 0.156977, -0.248675, 0.226305, 114.631161, 114.766115, 113.157233, 112.756041, 115.705258, 110.908632, 0.059643, 0.038271, -0.050000, -0.050000, 0.612875, nan, -38.906452, 91.842422, -501.557190, -15.002063, -60.570374, -382.473297, 104.893501, 59.659489, -980.356812, -22.173439, -8.535032, -457.370667, -20.982071, -23.949846, -372.959076, -41.603767, -24.398218, -1104.870850
781815027.000792, -195.092107, -261.534566, -86.438621, 0.156750, 0.114276, -0.737010, 0.647446, -0.172786, 0.156977, -0.248675, 0.226305, 114.798387, 114.933130, 113.273800, 112.872300, 115.873246, 111.018905, 0.056899, 0.034252, -0.050000, -0.050000, 0.540347, nan, -26.946980, 43.885578, -427.096619, -6.068871, -57.732891, -400.919922, 82.878654, 18.368416, -1028.706421, -10.806717, -37.039757, -478.914459, 6.524137, -33.601444, -420.591370, -100.036026, 116.217316, -931.822693
781815028.000009, -195.093190, -261.546615, -86.441514, 0.156667, 0.113629, -0.738171, 0.646257, -0.172786, 0.156977, -0.248675, 0.226305, 114.965522, 115.100069, 113.390615, 112.988362, 116.041074, 111.129226, 0.055585, 0.040367, -0.050000, -0.050000, 0.717406, 0.573962, -15.310387, 3.795796, -424.333160, -1.235228, -10.688720, -399.092896, 69.478302, -23.158442, -1059.142822, 3.323753, -47.805313, -536.171021, 11.918124, 1.709109, -380.572449, -80.276657, 67.749779, -997.434021
781815029.000026, -195.092542, -261.554372, -86.444785, 0.154835, 0.112521, -0.739074, 0.645860, -0.172786, 0.156977, -0.248675, 0.226305, 115.132981, 115.267349, 113.507510, 113.104733, 116.209090, 111.239629, 0.065844, 0.053389, -0.050000, -0.050000, 0.630178, nan, -17.618454, 23.005198, -385.948090, -5.166480, 30.793861, -414.701691, 134.374207, 23.277321, -1010.535461, -30.942804, 17.819126, -555.319580, 8.257998, -23.645590, -293.584167, -53.954605, -46.116035, -1082.455933
781815030.000043, -195.093360, -261.563842, -86.448442, 0.154488, 0.111210, -0.739726, 0.645424, -0.172786, 0.156977, -0.248675, 0.226305, 115.300384, 115.434286, 113.624201, 113.221049, 116.377127, 111.350025, 0.074840, 0.057429, -0.050000, -0.050000, 0.744061, nan, -26.474203, 27.151651, -410.739746, 19.964149, 26.022118, -369.911072, 71.068398, -11.428196, -997.669067, -42.028854, 7.007447, -568.230957, 11.249662, 19.105736, -279.573669, -9.458622, -89.702454, -1074.334351
781815031.000060, -195.093834, -261.569657, -86.445854, 0.154955, 0.109956, -0.740119, 0.645075, -0.172786, 0.156977, -0.248675, 0.226305, 115.468017, 115.601388, 113.740981, 113.337284, 116.545238, 111.460477, 0.078607, 0.055148, -0.050000, -0.050000, 0.682316, nan, -16.721741, 9.275930, -362.275818, 4.094110, -14.849646, -452.657654, 31.817410, 74.908501, -1058.123291, -63.922920, -17.217182, -625.450012, 31.418182, 40.598213, -318.270081, 25.752859, -73.213516, -1042.082031
781815032.000077, -195.093943, -261.577892, -86.447121, 0.155059, 0.109599, -0.740741, 0.644397, -0.172786, 0.156977, -0.248675, 0.226305, 115.635449, 115.768441, 113.857927, 113.453558, 116.713286, 111.570853, 0.081140, 0.057425, -0.050000, -0.050000, 0.763569, nan, -42.843239, 13.189720, -403.137817, -40.474632, -26.230919, -420.983704, 90.696434, 80.028244, -1007.837524, -50.845760, -60.856781, -471.076355, 9.939087, 4.092452, -343.403198, 18.329617, 11.160664, -999.926636
