SCLK,SCLK_REL,ROVER_X [METERS],ROVER_Y [METERS],ROVER_Z [METERS],QUAT_X,QUAT_Y,QUAT_Z,QUAT_C,LF_DRIVE,LM_DRIVE,LR_DRIVE,RF_DRIVE,RM_DRIVE,RR_DRIVE,LF_STEER [RADIANS],LR_STEER [RADIANS],RF_STEER [RADIANS],RR_STEER [RADIANS],SLIP,LM_DRIVE_ANG_VEL,RM_DRIVE_ANG_VEL,LEFT_DIFFERENTIAL,RIGHT_DIFFERENTIAL
808084877.722346,12.389535903930664,-0.019954,0.038131,-0.010459,-0.054988,0.167264,0.769117,0.614376,-0.17540737547423638,-0.09392508002414239,-0.16710587855799017,-0.3615727025132571,-0.3398985459244557,-0.34721310399530125,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.03801072345643149,-0.1642498106150579,-0.0115249808877706,-0.003313591361779841
808084877.847325,12.514514923095703,-0.021103,0.040409,-0.011095,-0.056856,0.165867,0.767646,0.616421,-0.18500041650997892,-0.09838410106184621,-0.1760099907350252,-0.38268298774499954,-0.36037665681971015,-0.3681172520313396,0.949960231781006,-0.9033016562461852,0.3793619573116302,-0.3467648923397064,0.0,-0.03567815676178039,-0.16385238924152887,-0.011588697670815893,-0.00013110065988550647
808084877.972365,12.639554977416992,-0.022216,0.042652,-0.011726,-0.05774,0.167384,0.766121,0.617824,-0.1944274514653585,-0.10302292667525839,-0.18491138169505908,-0.403511943712374,-0.3808149164784993,-0.38895340861321864,0.949960231781006,-0.9033016562461852,0.37927675271561867,-0.3467648923397064,0.0,-0.03709871719579367,-0.16345370105385001,-0.012036824850278,0.0009097781308093095
808084878.097348,12.764537930488586,-0.023324,0.044909,-0.012373,-0.057246,0.167222,0.766631,0.617282,-0.20388570413865634,-0.10778773459924187,-0.19375902250283156,-0.42448762627134323,-0.4013574921140161,-0.4097586749342099,0.949960231781006,-0.9033016562461852,0.3792767524719238,-0.3467648923397064,0.0,-0.03812366252263257,-0.16436302016123244,-0.012741261593994559,-0.0005189264933998447
808084878.22232,12.889509916305542,-0.024439,0.047171,-0.013018,-0.056717,0.166061,0.765889,0.618563,-0.2133502035312489,-0.1123246408264293,-0.20253482517766483,-0.4455254856151782,-0.4219055303377956,-0.4306119995379447,0.949960231781006,-0.9033016562461852,0.3792767524719238,-0.3467648923397064,0.0,-0.03630338589508021,-0.16442115478484803,-0.012934235975838374,-0.0011686995858326
808084878.347329,13.014518976211548,-0.025537,0.049421,-0.013652,-0.057544,0.166352,0.76553,0.618854,-0.2228459799924706,-0.11695539689625176,-0.21133445068457482,-0.46652694471382,-0.44232453274537414,-0.4513719056156446,0.949960231781006,-0.9033016562461852,0.3792767524719238,-0.3467648923397064,0.0,-0.03704336368343472,-0.1633401804871708,-0.012229580510600921,-0.0011040732164985818
808084878.472368,13.139557957649231,-0.026635,0.05168,-0.014294,-0.058613,0.167165,0.765427,0.618661,-0.2323084726888282,-0.12155155995546345,-0.2202215979765469,-0.487504974533067,-0.4627981628179895,-0.4722006921230104,0.949960231781006,-0.9033016562461852,0.3792767524719238,-0.3467648923397064,0.0,-0.03675784148563563,-0.16373797864643533,-0.0119091449305415,-0.0007791275857016
808084878.597314,13.264503955841064,-0.027732,0.053931,-0.014943,-0.058685,0.166914,0.764751,0.619558,-0.2417710033989948,-0.12630069280734796,-0.2290097026657065,-0.5085170299964261,-0.4833134360100359,-0.4931348500461467,0.949960231781006,-0.9033016562461852,0.3792767524719238,-0.3467648923397064,0.0,-0.038009483461751356,-0.1641931193390335,-0.0119091449305415,-0.0009082867001172852
808084878.722347,13.38953697681427,-0.028832,0.056203,-0.015598,-0.058329,0.16656,0.764556,0.619927,-0.25127567360596004,-0.13093231571860994,-0.23786797256724412,-0.529579468053953,-0.5037719096330875,-0.5139698204450269,0.949960231781006,-0.9033016562461852,0.3792767524719238,-0.3467648923397064,0.0,-0.037043197670594046,-0.16362456464549324,-0.01203671420719486,-0.0013642241820544417
808084878.847319,13.514508962631226,-0.029922,0.058462,-0.016246,-0.058383,0.167036,0.764077,0.620384,-0.26078277797265054,-0.13551889267253614,-0.2466863929681437,-0.5504893199152434,-0.5242274876580382,-0.5347591346349532,0.949960231781006,-0.9033016562461852,0.3792767524719238,-0.3467648923397064,0.0,-0.03670084078398243,-0.16368130738445363,-0.0126774739474058,-0.0003895556146744
