SCLK,SCLK_REL,ROVER_X [METERS],ROVER_Y [METERS],ROVER_Z [METERS],QUAT_X,QUAT_Y,QUAT_Z,QUAT_C,LF_DRIVE,LM_DRIVE,LR_DRIVE,RF_DRIVE,RM_DRIVE,RR_DRIVE,LF_STEER [RADIANS],LR_STEER [RADIANS],RF_STEER [RADIANS],RR_STEER [RADIANS],SLIP
781813325.92572,29.436254024505615,-203.395538,-248.431229,-83.598755,0.088074,0.083092,-0.903193,0.411803,-0.2778336674833212,-0.22158883885204253,-0.256990609991476,0.276086630698984,0.21524724230474132,0.26414918743364524,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.09091147502613019
781813326.050647,29.56118106842041,-203.395538,-248.431229,-83.598755,0.088129,0.083146,-0.902521,0.413249,-0.2988284133136005,-0.23718256350994688,-0.2769559619435426,0.2970813960362761,0.2308761958081362,0.2841145393857118,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.09153547081607087
781813326.175648,29.686182022094727,-203.395538,-248.431229,-83.598755,0.088241,0.083206,-0.901841,0.414697,-0.3198355996476607,-0.25282076603858167,-0.29689786127556766,0.31808121381149584,0.24650703697042783,0.3040637826132126,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.09215983577650766
781813326.300685,29.811219096183777,-203.395538,-248.431229,-83.598755,0.088284,0.083243,-0.90117,0.416137,-0.34084883671920346,-0.2684634873996287,-0.3168528847156722,0.33905920211179813,0.26211449004512133,0.32404669314990997,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.09278438115413849
781813326.425591,29.93612504005432,-203.395538,-248.431229,-83.598755,0.08833,0.083277,-0.9005,0.417568,-0.36184005607555036,-0.2840824741512335,-0.33681488240216595,0.3600504019394463,0.27774080640401166,0.34397345984433514,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.09340827155185691
781813326.550666,30.06120002269745,-203.395538,-248.431229,-83.598755,0.08841,0.083311,-0.899832,0.418982,-0.38285966390293424,-0.2996946503355388,-0.3567685918700363,0.3810700293000764,0.29338827030204584,0.363934524483966,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.09403300627822606
781813326.675661,30.186195015907288,-203.395538,-248.431229,-83.598755,0.088437,0.083328,-0.899168,0.420397,-0.4038658485405904,-0.31532475371750474,-0.37671689377020806,0.40207619442116993,0.3090257271487644,0.38391073506863904,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.09465734146684864
781813326.800697,30.311231017112732,-203.395538,-248.431229,-83.598755,0.088466,0.083338,-0.898493,0.421827,-0.42487890015956964,-0.33093207699954513,-0.39669964823053755,0.42308927070018854,0.32466831428706655,0.40386559141165884,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.09528188148555292
781813326.925718,30.436251997947693,-203.395538,-248.431229,-83.598755,0.088526,0.083349,-0.8978,0.423287,-0.44588943267086734,-0.3465727850194184,-0.41664474257515843,0.4440997980556176,0.3403016494148119,0.423845937338342,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.0959063464792854
781813327.050665,30.561199069023132,-203.395538,-248.431229,-83.598755,0.088562,0.083341,-0.897105,0.424752,-0.46688756369337625,-0.3622042465835306,-0.4365927554950986,0.46509790957492214,0.35589786655003763,0.443786595411666,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.09653044230252181
781813327.175709,30.686243057250977,-203.395538,-248.431229,-83.598755,0.088598,0.083328,-0.896411,0.426209,-0.4878945980430558,-0.3778478329356005,-0.4566120452494147,0.4861123281201003,0.3715340882119449,0.46377062269158387,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.0971550222154571
781813327.300678,30.811212062835693,-203.395538,-248.431229,-83.598755,0.088665,0.083319,-0.895716,0.427656,-0.5088611924653037,-0.39348203860916436,-0.4765488477756321,0.5071141207222922,0.387133065910632,0.48371478449450933,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.09777922759896977
781813327.425596,30.936130046844482,-203.395538,-248.431229,-83.598755,0.088722,0.083293,-0.895018,0.429109,-0.5298544105849601,-0.40910252993123203,-0.4964848419411964,0.528107349095535,0.40276086389101806,0.5036787053900866,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.09840317813575288
781813327.550682,31.06121599674225,-203.395538,-248.431229,-83.598755,0.088768,0.083254,-0.894324,0.430551,-0.5508758563819356,-0.42471607987727106,-0.5164755870655426,0.5491362048614974,0.41840969984377807,0.5236415251256403,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.09902796764226016
781813327.675672,31.186206102371216,-203.395538,-248.431229,-83.598755,0.088827,0.083216,-0.893638,0.431967,-0.5718811949734004,-0.44034556802026253,-0.5364231130103008,0.5701768001560481,0.43404654523132535,0.5436169505289286,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.0996522784179951
781813327.800714,31.311248064041138,-203.395538,-248.431229,-83.598755,0.088882,0.083159,-0.892946,0.433395,-0.5928878870432186,-0.45595364076402234,-0.556406814587433,0.5911908534669124,0.44968251165556694,0.5635653920296022,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.10027684820851357
781813327.92574,31.43627405166626,-203.395538,-248.431229,-83.598755,0.088924,0.083081,-0.892241,0.434852,-0.6138714397555987,-0.47159497515670523,-0.5763527076852029,0.6122022222435248,0.4652886197644079,0.5835186655384632,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.10090133821056999
781813328.050662,31.561196088790894,-203.395538,-248.431229,-83.598755,0.088975,0.082982,-0.891532,0.436312,-0.6349005759356601,-0.48722330485676935,-0.5962820171461658,0.6331961317987407,0.4809169248232763,0.6034832119093494,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.10152530899218674
781813328.175815,31.686349034309387,-203.395538,-248.431229,-83.598755,0.089011,0.082863,-0.890826,0.437766,-0.6559332807494229,-0.5028805170952637,-0.6162481643416413,0.6542288859320706,0.49657414224077456,0.623456765080391,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.10215043313388564
781813328.300594,31.81112802028656,-203.395538,-248.431229,-83.598755,0.089025,0.082716,-0.890116,0.439234,-0.6769031496669413,-0.5184836003089686,-0.6361546522840626,0.6751987445969689,0.5121845807011596,0.6433984643682606,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.10277368939196159
781813328.425591,31.93612504005432,-203.395538,-248.431229,-83.598755,0.089037,0.082552,-0.889407,0.440695,-0.6979023699657319,-0.5340860537914978,-0.6561032536316134,0.6962052451510203,0.527814981022857,0.6633470657158114,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.10339803470300099
781813328.550712,32.061246037483215,-203.395538,-248.431229,-83.598755,0.089063,0.082382,-0.888687,0.442172,-0.7188944179972623,-0.5497392938762005,-0.6760995917350101,0.7172325808962796,0.5434328943492801,0.6833434038192081,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.10402299926777576
781813328.675588,32.18612205982208,-203.395538,-248.431229,-83.598755,0.089094,0.082187,-0.887962,0.443656,-0.7398805842060483,-0.5653545187976761,-0.6960288888653849,0.7382187573548435,0.5590554869079369,0.7032653723583735,-0.839897096157074,0.7912358045578003,0.8398544788360596,-0.7912358045578003,0.1046467402109869
